albumID,artistID,trackID,Track,Albums,Artist(s),Popularity,Image URL,time_range,Rank
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2wLtsn2t4B7hma0ilVMGON,"Eyes of the World - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,17
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,4RP8XUcE2U05nv3z0fMAwr,"Promised Land - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,18
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,4CeQnsizuDnq6lSzyz1Uvx,Friend Of The Devil - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",10,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,19
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,5HyqkTD1AyfOqopIT4ybDf,"The Other One - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,20
2256qKBSQdt53T5dz4Kdcs,0xliTEbFfy5HQHvsTknTkX,4S1VYqwfkLit9mKVY3MXoo,Forever Young,Forever Young,Alphaville,84,https://i.scdn.co/image/ab67616d0000b273b9c4979446c4d39bc08e9503,medium_term,21
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,0tyrv88txjpUOgoWjAcozF,"Franklin's Tower - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,27,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,22
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2fpmfFA1UKOD7O1BydAqNw,"Wharf Rat - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,25,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,medium_term,23
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5IHnYDMb6S7p7rmUFnMfvH,"Wave That Flag (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,24
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5ZJvPMzz4jbaKahDkDABR3,"Ramble on Rose (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,25
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5bchPUI6r1S5qjfnNHJBUT,"Beat It on Down the Line (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,26
32MaUU5gk5Ig0nHC9G5VNX,2mVVjNmdjXZZDvhgQWiakk,0jaFQzTV7zKwuys2YGLpaC,People Everywhere (Still Alive),The Universe Smiles Upon You,Khruangbin,67,https://i.scdn.co/image/ab67616d0000b273e08ee206ad63148105336a19,medium_term,27
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,1EZXWqHOHfsEPIKGTTb28c,"Eyes of the World (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,28
1WAjjRMfZjEXtB0lQrAw6Q,7GlBOeep6PqTfFi59PTUUN,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,93,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,medium_term,29
0vwIHq1DdPfoNGoqQDeYwk,3QDaXfnxfQqqJQK5lSdjLN,1FVCINI1aY7Eom3npc3MlW,Little Sadie - Live,"Pure Jerry: Marin Veteran's Memorial Auditorium, San Rafael, California, February 28, 1986","Jerry Garcia, John Kahn",12,https://i.scdn.co/image/ab67616d0000b27377d87aad9893799727827b38,medium_term,30
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,2ysjbPgzTFSlvNPqyKMtw5,"Bird Song (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,medium_term,31
1PeC1ckDJSzYHkwo6JHbP2,2mVVjNmdjXZZDvhgQWiakk,4KMMzqVU3SL9U2JPmwfvsb,Farolim de Felgueiras,A LA SALA,Khruangbin,52,https://i.scdn.co/image/ab67616d0000b2733854b553506134a1421ed58c,medium_term,32
