artistID,Artist,Genres,Popularity,Image URL,time_range,Rank
3dkbV4qihUeMsqN4vBGg93,Al Green,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul",67,https://i.scdn.co/image/ab6761610000e5eb64382b1015df52a6bc32c3b7,medium_term,30
4QMYdqiJf5bEC7P0EHbnxn,Dead & Company,jam band,48,https://i.scdn.co/image/ab6761610000e5ebb7aaed83d8251e80c2f63805,medium_term,31
4Sld5LOPbAm1QSq9U32fFV,John Hiatt,"country rock, folk, heartland rock, roots rock, singer-songwriter",55,https://i.scdn.co/image/ab6761610000e5eb0442101f315ec5788fb986c2,medium_term,32
64QDqXMHjg0lUoGbXSCX2R,Pedro Mizutani,,48,https://i.scdn.co/image/ab6761610000e5ebed356e8c86f18f0efdf74d66,medium_term,33
6ZFv3wQwwWPiVDWhv0mjQK,Toots & The Maytals,"reggae, roots reggae, ska",57,https://i.scdn.co/image/ab6761610000e5eb346451ca43eb84f810f13b96,medium_term,34
3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,"album rock, blues rock, classic rock, country rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock, southern rock",64,https://i.scdn.co/image/b701ba75981d0b9aeef036b9fab4e3c96609e364,medium_term,35
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",68,https://i.scdn.co/image/ab6761610000e5eb774d73ae6796b6f437d89db9,medium_term,36
1R6Hx1tJ2VOUyodEpC12xM,Jim Croce,"classic rock, country rock, folk, folk rock, mellow gold, singer-songwriter, soft rock",71,https://i.scdn.co/image/9f9b40704e3361c93ea8a8b7a86a5d9ee755466e,medium_term,37
7dSnChJjb0jdfulJsIijoC,"Arthur ""Big Boy"" Crudup","acoustic blues, blues, chicago blues, delta blues, traditional blues",34,https://i.scdn.co/image/c23097f69470b5d131f13a17d9d180b8e0721ee8,medium_term,38
0xPoVNPnxIIUS1vrxAYV00,Del Water Gap,"deep new americana, indie pop, pov: indie",63,https://i.scdn.co/image/ab6761610000e5eb79deabbef86b785d97bbe2a5,medium_term,39
1NnRjWELSLqFONDhwc8VU7,Champion Jack Dupree,"acoustic blues, barrelhouse piano, blues, louisiana blues, memphis blues, new orleans blues, piano blues, traditional blues",40,https://i.scdn.co/image/90427f4c28da74441f7232b9a30f5e29503dd73d,medium_term,40
4PmxbsWP1u0TnvqcrIA9ze,Vieux Farka Touré,"afropop, malian blues, mande pop, world",50,https://i.scdn.co/image/ab6761610000e5eb0002aeb4fe474e6e0ae26f8b,medium_term,41
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass,"easy listening, lounge",58,https://i.scdn.co/image/b7d355997334ec3352bcbf03dabc903eec812a46,medium_term,42
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz",74,https://i.scdn.co/image/ab6772690000c46c4a0e9d5e55f9f3721c3243c5,medium_term,43
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,"classic oklahoma country, contemporary country, country, country road",72,https://i.scdn.co/image/ab6761610000e5eb1b6b9d83cfd806b328496207,medium_term,44
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,"east coast hip hop, jazz rap",48,https://i.scdn.co/image/f206b28b49faedc145f993eec554cb03055f7fd8,medium_term,45
64UY94KKTaadhOHVDIZW1a,Noah Lewis' Jug Band,memphis blues,0,https://i.scdn.co/image/ab67616d0000b2736dc8f8a22b5edfa2e01ce736,medium_term,46
0DYWCXTkNqGFZIf67SrWEa,Fats Waller,"dixieland, harlem renaissance, jazz, jazz piano, stride, swing, tin pan alley, vintage jazz",45,https://i.scdn.co/image/eb9bf573a7ea0b60fcdd26efe306fb261bd706aa,medium_term,47
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",63,https://i.scdn.co/image/ab6772690000c46c08f5d15585b77b0cb059717b,medium_term,48
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap",93,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,medium_term,49
5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"baroque, classical, early music, german baroque",79,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88,medium_term,50
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,"cosmic american, jam band, psychedelic rock",67,https://i.scdn.co/image/bba340d0c2aa4c9cbcbab0a4c3259d8f8e27f0d7,long_term,1
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock",86,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,long_term,2
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,"reggae, roots reggae",81,https://i.scdn.co/image/b5aae2067db80f694a980e596e7f49618c1206c9,long_term,3
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap",93,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,long_term,4
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",85,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4,long_term,5
2mVVjNmdjXZZDvhgQWiakk,Khruangbin,"indie soul, neo-psychedelic, world",73,https://i.scdn.co/image/ab6761610000e5eba63dfeecf7c8d2acf3eeee6b,long_term,6
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",75,https://i.scdn.co/image/afde2fdd14f8c8ca23393f257e3a369a234a24b6,long_term,7
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",79,https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f,long_term,8
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,"art rock, classic rock, glam rock, permanent wave, rock",78,https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49,long_term,9
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul",76,https://i.scdn.co/image/cf79bd3e5c787e2ec152eeb1ea5538b0d4cf1434,long_term,10
